gene,pseudotime,value
NID1,97.17121598,0.17429035
GALNT15,97.17121598,0.151585718
NRCAM,97.17121598,-0.165297951
PLAT,97.17121598,0.153090969
B3GAT3,97.17121598,-0.162299687
CTSF,97.17121598,0.15534978
LGALS3BP,97.17121598,-0.167306519
CRELD2,97.17121598,-0.165060433
MRPL55,95.92543116,-0.17089511
IL1R1,95.92543116,0.160243778
FAP,95.92543116,0.158561083
COL6A3,95.92543116,0.156195828
CPB1,95.92543116,0.163518169
SPON2,95.92543116,0.150380474
IL33,95.92543116,0.152052054
MRPL21,95.92543116,-0.178056406
C2CD2,95.92543116,-0.178117066
PKDCC,94.67964634,-0.187869112
SEMA3G,94.67964634,-0.193516655
BOC,94.67964634,0.158143646
TNXB,94.67964634,0.15459529
MRPL2,94.67964634,-0.198827629
SYAP1,94.67964634,-0.198747196
FIBIN,94.67964634,0.154144985
CD44,94.67964634,0.150479016
MDK,94.67964634,-0.187868962
SDHD,94.67964634,-0.182312222
NME3,94.67964634,-0.203491574
RCN3,94.67964634,-0.19230163
MFAP2,93.43386152,0.15281752
NBL1,93.43386152,0.150136934
TAGLN2,93.43386152,0.154478752
PLOD2,93.43386152,-0.223902401
TFRC,93.43386152,-0.198493844
C4orf48,93.43386152,-0.228231744
LAMA2,93.43386152,0.160093173
COPS6,93.43386152,-0.20031812
STOML2,93.43386152,-0.215768128
HSPA5,93.43386152,-0.252198668
SRGN,93.43386152,-0.213083348
DHRS4L2,93.43386152,-0.204424292
RCN2,93.43386152,-0.217574784
AK4,92.1880767,-0.242019897
CTSB,92.1880767,0.152834973
SVEP1,92.1880767,0.152372172
NMB,92.1880767,-0.238546585
C1QTNF1,92.1880767,-0.193218459
PRADC1,90.94229188,-0.248444423
ANTXR2,90.94229188,0.158836599
CD164,90.94229188,-0.266465935
CTSD,90.94229188,-0.250641274
SAA1,90.94229188,-0.215459932
CLEC2B,90.94229188,0.159811986
CNPY2,90.94229188,-0.209674382
PODN,89.69650706,0.15620852
HEG1,89.69650706,0.154273632
SOD3,89.69650706,0.158863049
FST,89.69650706,0.151691159
HSP90AB1,89.69650706,-0.266350493
PPIA,89.69650706,-0.298276031
PDIA4,89.69650706,-0.257163894
ITIH5,89.69650706,-0.27446579
CXCL12,89.69650706,0.153707162
CD63,89.69650706,-0.267093609
PPIB,89.69650706,-0.323291838
VKORC1,89.69650706,0.155180201
MMP2,89.69650706,0.178656695
WISP2,89.69650706,0.154790296
GNAS,89.69650706,-0.303576984
ADAMTS5,89.69650706,0.159351524
PTPRF,88.45072224,-0.304805314
PPIC,88.45072224,0.151081961
PCOLCE,88.45072224,0.151551259
EPHB6,88.45072224,0.151310606
CILP,88.45072224,0.154753687
C21orf33,88.45072224,-0.298305604
SDHB,87.20493742,-0.329618101
PXDN,87.20493742,-0.343837491
PDIA6,87.20493742,-0.374715426
SUCLG1,87.20493742,-0.319627187
STARD7,87.20493742,-0.311720925
FSTL1,87.20493742,0.161371197
HSD17B11,87.20493742,0.16244331
GPNMB,87.20493742,0.151315271
AZGP1,87.20493742,-0.351818195
MTRNR2L10,87.20493742,-0.353838548
CTSL,87.20493742,0.152148866
PAPPA,87.20493742,0.162229206
PTGDS,87.20493742,0.163828786
MTRNR2L8,87.20493742,-0.332142019
HSP90B1,87.20493742,-0.408031946
COL6A2,87.20493742,0.153506024
PLA2G2A,85.9591526,0.153291587
MRPL24,85.9591526,-0.343361347
MRPS14,85.9591526,-0.366433206
GPC1,85.9591526,-0.303386709
LNPEP,85.9591526,-0.293946773
MLXIPL,85.9591526,-0.34652972
PDHA1,85.9591526,-0.360968677
ASAH1,85.9591526,-0.309231213
DKK1,85.9591526,0.154376795
HTRA1,85.9591526,0.154164762
ADAM12,85.9591526,-0.381482554
MRPL27,85.9591526,-0.364575108
P4HB,85.9591526,-0.44842475
PLTP,85.9591526,-0.278511223
HSPG2,84.71336778,-0.249043376
ALDH9A1,84.71336778,-0.425270873
NDUFB5,84.71336778,-0.390418118
LY96,84.71336778,0.1543998
LIPA,84.71336778,-0.353189616
ADM,84.71336778,0.157355918
SERPINH1,84.71336778,-0.44322388
IFI27L2,84.71336778,0.161600925
SPARC,83.46758296,-0.516049297
SLIT3,83.46758296,0.155861372
THBS2,83.46758296,0.159962275
SEMA3C,83.46758296,0.154678857
CTHRC1,83.46758296,0.157257144
HINT2,83.46758296,-0.462723662
ANGPTL4,83.46758296,-0.311026583
TIMP3,83.46758296,0.154951276
YBX1,82.22179814,-0.476453999
LAMC1,82.22179814,0.161607712
FNDC4,82.22179814,-0.48705265
FBLN2,82.22179814,0.150710413
IL6ST,82.22179814,0.162881785
LAMA4,82.22179814,-0.370851281
HNRNPA2B1,82.22179814,-0.363309845
ANXA1,82.22179814,0.151837563
SERPING1,82.22179814,0.178582719
TIMP2,82.22179814,0.158271377
LGALS1,82.22179814,-0.662377816
CTSK,80.97601332,0.160641347
TFPI,80.97601332,0.15232366
TIMP4,80.97601332,-0.388500118
GPX3,80.97601332,0.172788072
LPL,80.97601332,-0.893975694
NDUFS8,80.97601332,-0.603285425
LGALS3,80.97601332,0.156585588
FBLN5,80.97601332,0.156277824
HP,80.97601332,-0.634842121
OLFML3,79.7302285,0.151660978
DPT,79.7302285,0.152929999
HILPDA,79.7302285,-0.56667966
GCSH,79.7302285,-0.720573905
C1QBP,79.7302285,-0.625061139
PHB,79.7302285,-0.641797263
C19orf70,79.7302285,-0.64236473
CALR,79.7302285,-0.660536747
CRLF1,79.7302285,0.160527274
CHI3L2,78.48444368,-0.704472175
IL17RE,78.48444368,-0.441888068
SPOCK1,78.48444368,0.157415732
RPLP2,78.48444368,-0.552996164
TSKU,78.48444368,-0.362278064
ISLR,78.48444368,0.152493714
APOC1,78.48444368,-0.413325547
RDH5,77.23865886,-0.666123814
B2M,77.23865886,0.155005857
NME1,77.23865886,-0.81404049
CLU,75.99287404,0.165300608
FAM213A,75.99287404,-1.087572285
IGF2,75.99287404,0.157623878
MFGE8,75.99287404,0.155492854
AOC3,75.99287404,-0.925417471
CST3,75.99287404,0.165546035
FBLN1,75.99287404,0.154684444
S100A13,74.74708922,0.164178447
RBP4,74.74708922,-1.660823829
C1S,74.74708922,0.16386359
C1R,74.74708922,0.156334154
CCL2,74.74708922,0.159118962
PTPRS,74.74708922,-0.380208469
ADIPOQ,73.5013044,-2.067654424
MFAP5,73.5013044,0.166974329
FBN1,73.5013044,0.162105507
HSPB6,73.5013044,-0.551024788
CYR61,72.25551958,0.151557323
EFEMP1,72.25551958,0.159825676
PDGFRA,72.25551958,0.153778695
SCRG1,72.25551958,0.152239096
COL1A2,72.25551958,0.165633569
CSAD,72.25551958,-0.63291943
COL4A2,72.25551958,-0.88903048
THBS1,72.25551958,0.16017784
FGF7,72.25551958,0.158395146
MFAP4,72.25551958,0.150448182
COL3A1,71.00973476,0.157857602
FN1,71.00973476,0.165376429
APOD,71.00973476,0.168635921
CD59,71.00973476,0.158246886
LUM,71.00973476,0.158660411
POSTN,71.00973476,0.155052191
SERPINF1,71.00973476,-0.537675045
LOX,69.76394994,0.150198527
PRSS23,69.76394994,0.153486124
ACACB,69.76394994,-1.354097402
TGFBI,68.51816512,0.158390609
SRPX,68.51816512,-0.418335559
PLAC9,68.51816512,0.172022277
MGP,68.51816512,0.157523107
COL4A1,68.51816512,-1.07803164
IGFBP7,67.2723803,0.161799385
DCN,67.2723803,0.172304421
CCDC80,64.78081066,0.156787326
CTGF,64.78081066,0.158193052
TIMP1,64.78081066,0.164040069
SERPINE2,63.53502584,0.150306901
PTX3,62.28924102,0.154249351
FABP5,62.28924102,-3.047195413
IGFBP6,62.28924102,0.164122761
COL1A1,61.0434562,0.164015052
CFD,59.79767138,-0.227392793
GSN,58.55188655,-0.246348893
APOE,58.55188655,-1.471305581
