Ensemblgeneid,Genename,UniProt,annotcategory
ENSG00000003436,TFPI,P10646,Secreted to blood
ENSG00000005844,ITGAL,P20701,Intracellular or membrane-bound
ENSG00000008516,MMP25,Q9NPA2,Secreted to blood
ENSG00000011422,PLAUR,Q03405,Intracellular or membrane-bound
ENSG00000015413,DPEP1,P16444,Intracellular or membrane-bound
ENSG00000026508,CD44,P16070,Secreted - unknown location
ENSG00000037280,FLT4,P35916,Secreted to blood
ENSG00000057593,F7,P08709,Secreted to blood
ENSG00000066468,FGFR2,P21802,Secreted - unknown location
ENSG00000067182,TNFRSF1A,P19438,Secreted to blood
ENSG00000068078,FGFR3,P22607,Intracellular or membrane-bound
ENSG00000073756,PTGS2,P35354,Intracellular or membrane-bound
ENSG00000077238,IL4R,P24394,Secreted to blood
ENSG00000080618,CPB2,Q96IY4,Secreted to blood
ENSG00000087085,ACHE,P22303,Intracellular or membrane-bound
ENSG00000087245,MMP2,P08253,Locally secreted to extracellular matrix
ENSG00000088926,F11,P03951,Secreted to blood
ENSG00000089597,GANAB,Q14697,Intracellular or membrane-bound
ENSG00000091181,IL5RA,Q01344,Intracellular or membrane-bound
ENSG00000095303,PTGS1,P23219,Intracellular or membrane-bound
ENSG00000099937,SERPIND1,P05546,Secreted to blood
ENSG00000099953,MMP11,P24347,Locally secreted to extracellular matrix
ENSG00000100985,MMP9,P14780,Secreted to blood
ENSG00000101981,F9,P00740,Secreted to blood
ENSG00000102524,TNFSF13B,Q9Y275,Secreted to blood
ENSG00000102755,FLT1,P17948,Secreted to blood
ENSG00000103485,QPRT,Q15274,Intracellular or membrane-bound
ENSG00000104368,PLAT,P00750,Secreted to blood
ENSG00000105711,SCN1B,Q07699,Intracellular or membrane-bound
ENSG00000105976,MET,P08581,Secreted to blood
ENSG00000106128,GHRHR,Q02643,Intracellular or membrane-bound
ENSG00000106366,SERPINE1,P05121,Secreted to blood
ENSG00000106804,C5,P01031,Secreted to blood
ENSG00000108691,CCL2,P13500,Secreted to blood
ENSG00000108821,COL1A1,P02452,Locally secreted to extracellular matrix
ENSG00000110799,VWF,P04275,Secreted to blood
ENSG00000110944,IL23A,Q9NPF7,Secreted to blood
ENSG00000111537,IFNG,P01579,Secreted to blood
ENSG00000112115,IL17A,Q16552,Secreted to blood
ENSG00000112715,VEGFA,P15692,Secreted to blood
ENSG00000112964,GHR,P10912,Secreted to blood
ENSG00000113302,IL12B,P29460,Secreted to blood
ENSG00000113494,PRLR,P16471,Intracellular or membrane-bound
ENSG00000113525,IL5,P05113,Secreted to blood
ENSG00000113578,FGF1,P05230,Locally secreted
ENSG00000114200,BCHE,P06276,Secreted to blood
ENSG00000115232,ITGA4,P13612,Intracellular or membrane-bound
ENSG00000115414,FN1,P02751,Secreted to blood
ENSG00000115594,IL1R1,P14778,Secreted to blood
ENSG00000115705,TPO,P07202,Intracellular or membrane-bound
ENSG00000115718,PROC,P04070,Secreted to blood
ENSG00000116678,LEPR,P48357,Secreted to blood
ENSG00000117525,F3,P13726,Secreted to blood
ENSG00000117601,SERPINC1,P01008,Secreted to blood
ENSG00000118113,MMP8,P22894,Locally secreted to extracellular matrix
ENSG00000119535,CSF3R,Q99062,Intracellular or membrane-bound
ENSG00000119630,PGF,P49763,Secreted to blood
ENSG00000119912,IDE,P14735,Intracellular or membrane-bound
ENSG00000120088,CRHR1,P34998,Intracellular or membrane-bound
ENSG00000120156,TEK,Q02763,Secreted to blood
ENSG00000120659,TNFSF11,O14788,Secreted to blood
ENSG00000121594,CD80,P33681,Intracellular or membrane-bound
ENSG00000122194,PLG,P00747,Secreted to blood
ENSG00000122861,PLAU,P00749,Secreted to blood
ENSG00000123342,MMP19,Q99542,Locally secreted to extracellular matrix
ENSG00000123454,DBH,P09172,Intracellular or membrane-bound
ENSG00000124491,F13A1,P00488,Secreted to blood
ENSG00000125538,IL1B,P01584,Secreted to blood
ENSG00000125730,C3,P01024,Secreted to blood
ENSG00000125966,MMP24,Q9Y5R2,Locally secreted to extracellular matrix
ENSG00000126218,F10,P00742,Secreted to blood
ENSG00000128052,KDR,P35968,Intracellular or membrane-bound
ENSG00000128655,PDE11A,Q9HCR9,Intracellular or membrane-bound
ENSG00000130035,GALNT8,"P17658,Q9NY28",Intracellular or membrane-bound
ENSG00000130234,ACE2,Q9BYF1,Secreted to blood
ENSG00000131187,F12,P00748,Secreted to blood
ENSG00000131471,AOC3,Q16853,Secreted - unknown location
ENSG00000134853,PDGFRA,P16234,Intracellular or membrane-bound
ENSG00000135046,ANXA1,P04083,Secreted to blood
ENSG00000136244,IL6,P05231,Secreted to blood
ENSG00000136869,TLR4,O00206,Intracellular or membrane-bound
ENSG00000137673,MMP7,P09237,Locally secreted to extracellular matrix
ENSG00000137674,MMP20,O60882,Locally secreted to extracellular matrix
ENSG00000137675,MMP27,Q9H306,Intracellular or membrane-bound
ENSG00000137745,MMP13,P45452,Locally secreted to extracellular matrix
ENSG00000138685,FGF2,P09038,Locally secreted
ENSG00000138823,MTTP,P55157,Intracellular or membrane-bound
ENSG00000143839,REN,P00797,Secreted to blood
ENSG00000146648,EGFR,P00533,Secreted to blood
ENSG00000148795,CYP17A1,P05093,Intracellular or membrane-bound
ENSG00000149968,MMP3,P08254,Locally secreted to extracellular matrix
ENSG00000151834,GABRA2,P47869,Intracellular or membrane-bound
ENSG00000153029,MR1,Q95460,Intracellular or membrane-bound
ENSG00000153956,CACNA2D1,P54289,Intracellular or membrane-bound
ENSG00000154485,MMP21,Q8N119,Locally secreted to extracellular matrix
ENSG00000156103,MMP16,P51512,Locally secreted to extracellular matrix
ENSG00000158125,XDH,P47989,Intracellular or membrane-bound
ENSG00000159110,IFNAR2,P48551,Secreted to blood
ENSG00000159403,C1R,P00736,Secreted to blood
ENSG00000159640,ACE,P12821,Secreted to blood
ENSG00000160712,IL6R,P08887,Intracellular or membrane-bound
ENSG00000160867,FGFR4,P22455,Intracellular or membrane-bound
ENSG00000162747,FCGR3B,O75015,Secreted to blood
ENSG00000163286,ALPPL2,P10696,Intracellular or membrane-bound
ENSG00000163599,CTLA4,P16410,Intracellular or membrane-bound
ENSG00000164326,CARTPT,Q16568,Secreted to blood
ENSG00000164344,KLKB1,P03952,Secreted to blood
ENSG00000165409,TSHR,P16473,Intracellular or membrane-bound
ENSG00000166670,MMP10,P09238,Locally secreted to extracellular matrix
ENSG00000167346,MMP26,Q9NRE1,Locally secreted to extracellular matrix
ENSG00000167397,VKORC1,Q9BQB6,Intracellular or membrane-bound
ENSG00000167748,KLK1,P06870,Locally secreted to GI-tract
ENSG00000168959,GRM5,P41594,Intracellular or membrane-bound
ENSG00000169174,PCSK9,Q8NBP7,Secreted to blood
ENSG00000170820,FSHR,P23945,Intracellular or membrane-bound
ENSG00000170890,PLA2G1B,P04054,Locally secreted to GI-tract
ENSG00000171560,FGA,P02671,Secreted to blood
ENSG00000171564,FGB,P02675,Secreted to blood
ENSG00000173511,VEGFB,P49765,Secreted to blood
ENSG00000175445,LPL,P06858,Secreted to blood
ENSG00000175535,PNLIP,P16233,Locally secreted to GI-tract
ENSG00000180210,F2,P00734,Secreted to blood
ENSG00000182326,C1S,P09871,Secreted to blood
ENSG00000182333,LIPF,P07098,Locally secreted to GI-tract
ENSG00000182578,CSF1R,P07333,Intracellular or membrane-bound
ENSG00000183023,SLC8A1,P32418,Intracellular or membrane-bound
ENSG00000184500,PROS1,P07225,Secreted to blood
ENSG00000185010,F8,P00451,Secreted to blood
ENSG00000187266,EPOR,P19235,Intracellular or membrane-bound
ENSG00000188257,PLA2G2A,P14555,Secreted to blood
ENSG00000196611,MMP1,P03956,Locally secreted to extracellular matrix
ENSG00000197561,ELANE,P08246,Secreted to blood
ENSG00000197632,SERPINB2,P05120,Intracellular or membrane-bound
ENSG00000197635,DPP4,P27487,Locally secreted
ENSG00000198019,FCGR1B,Q92637,Intracellular or membrane-bound
ENSG00000198223,CSF2RA,P15509,Secreted to blood
ENSG00000198598,MMP17,Q9ULZ9,Locally secreted to extracellular matrix
ENSG00000198734,F5,P12259,Secreted to blood
ENSG00000198848,CES1,P23141,Intracellular or membrane-bound
ENSG00000203747,FCGR3A,P08637,Secreted to blood
ENSG00000204370,SDHD,O14521,Intracellular or membrane-bound
ENSG00000204681,GABBR1,Q9UBS5,Intracellular or membrane-bound
ENSG00000204983,PRSS1,P07477,Locally secreted to GI-tract
ENSG00000223572,CKMT1A,P12532,Intracellular or membrane-bound
ENSG00000224389,C4B,P0C0L5,Secreted to blood
ENSG00000232810,TNF,P01375,Secreted to blood
ENSG00000237289,CKMT1B,P12532,Intracellular or membrane-bound
ENSG00000242252,BGLAP,P02818,Secreted to blood
ENSG00000243480,AMY2A,P04746,Locally secreted to GI-tract
ENSG00000244731,C4A,P0C0L4,Secreted to blood
ENSG00000259207,ITGB3,P05106,Intracellular or membrane-bound
ENSG00000262406,MMP12,P39900,Locally secreted to extracellular matrix
ENSG00000271447,MMP28,Q9H239,Locally secreted to extracellular matrix
ENSG00000000971,CFH,P08603,Secreted to blood
ENSG00000001036,FUCA2,Q9BTY2,Secreted to blood
ENSG00000001617,SEMA3F,Q13275,Secreted to blood
ENSG00000002587,HS3ST1,O14792,Intracellular or membrane-bound
ENSG00000002726,AOC1,P19801,Locally secreted
ENSG00000002745,WNT16,Q9UBV4,Locally secreted to extracellular matrix
ENSG00000003137,CYP26B1,Q9NR63,Intracellular or membrane-bound
ENSG00000004139,SARM1,Q6SZW1,Intracellular or membrane-bound
ENSG00000004487,KDM1A,O60341,Intracellular or membrane-bound
ENSG00000004776,HSPB6,O14558,Intracellular or membrane-bound
ENSG00000004961,HCCS,P53701,Intracellular or membrane-bound
ENSG00000005001,PRSS22,Q9GZN4,Locally secreted
ENSG00000005108,THSD7A,Q9UPZ6,Secreted to blood
ENSG00000005381,MPO,P05164,Intracellular or membrane-bound
ENSG00000005421,PON1,P27169,Secreted to blood
ENSG00000006016,CRLF1,O75462,Locally secreted
ENSG00000006128,TAC1,P20366,Secreted to blood
ENSG00000006210,CX3CL1,P78423,Secreted to blood
ENSG00000006282,SPATA20,Q8TB22,Locally secreted in male tissues
ENSG00000006432,MAP3K9,P80192,Intracellular or membrane-bound
ENSG00000006530,AGK,Q53H12,Intracellular or membrane-bound
ENSG00000006606,CCL26,Q9Y258,Secreted to blood
ENSG00000006757,PNPLA4,P41247,Intracellular or membrane-bound
ENSG00000007038,PRSS21,Q9Y6M0,Intracellular or membrane-bound
ENSG00000007202,KIAA0100,Q14667,Secreted - unknown location
ENSG00000007306,CEACAM7,Q14002,Intracellular or membrane-bound
ENSG00000008277,ADAM22,Q9P0K1,Intracellular or membrane-bound
ENSG00000008438,PGLYRP1,O75594,Secreted to blood
ENSG00000008513,ST3GAL1,Q11201,Intracellular or membrane-bound
ENSG00000008517,IL32,P24001,Secreted to blood
ENSG00000009724,MASP2,O00187,Secreted to blood
ENSG00000009950,MLXIPL,Q9NP71,Intracellular or membrane-bound
ENSG00000010319,SEMA3G,Q9NS98,Secreted to blood
ENSG00000010404,IDS,P22304,Intracellular or membrane-bound
ENSG00000010438,PRSS3,P35030,Locally secreted to GI-tract
ENSG00000011201,ANOS1,P23352,Locally secreted in brain
ENSG00000011295,TTC19,Q6DKK2,Intracellular or membrane-bound
ENSG00000011465,DCN,P07585,Locally secreted to extracellular matrix
ENSG00000012171,SEMA3B,Q13214,Locally secreted
ENSG00000012223,LTF,P02788,Locally secreted
ENSG00000013288,MAN2B2,Q9Y2E5,Secreted to blood
ENSG00000013523,ANGEL1,Q9UNK9,Intracellular or membrane-bound
ENSG00000013563,DNASE1L1,P49184,Intracellular or membrane-bound
ENSG00000013725,CD6,P30203,Secreted to blood
ENSG00000014257,ACPP,P15309,Secreted to blood
ENSG00000015479,MATR3,P43243,Intracellular or membrane-bound
ENSG00000015532,XYLT2,Q9H1B5,Secreted to blood
ENSG00000016490,CLCA1,A8K7I4,Locally secreted to GI-tract
ENSG00000016602,CLCA4,Q14CN2,Intracellular or membrane-bound
ENSG00000017427,IGF1,P05019,Secreted to blood
ENSG00000018236,CNTN1,Q12860,Intracellular or membrane-bound
ENSG00000018510,AGPS,O00116,Intracellular or membrane-bound
ENSG00000019991,HGF,P14210,Secreted to blood
ENSG00000021852,C8B,P07358,Secreted to blood
ENSG00000023318,ERP44,Q9BS26,Intracellular or membrane-bound
ENSG00000026103,FAS,P25445,Secreted to blood
ENSG00000026297,RNASET2,O00584,Secreted to blood
ENSG00000028137,TNFRSF1B,P20333,Secreted to blood
